Latin Stem Phonology,Irish Phonology,Latin Word,Latin Stem,Irish Word,Latin Word Phonology
di.'a:.ko.n,/ˈdʲe.xən/,diāconus,diacon,dechon,/di.'a:.ko.nus/
di.a.'lek.ti.k,/ˈdʲiə.lʲex.təkʲ/',dialectica,dialectic,dialectaicc,/di.a.'lek.ti.ka/
di.'a.me.ter,/ˈdʲiə.θʲərʲ/',diameter,diameter,díaithir,/di.'a.me.ter/
dik.t,/ˈdʲex.təðʲ/,dictō,dict,decht\aid,/dik.to:/
dik.'ta:.to:r,/ˈdix.tə.do:rʲ/,dictātōr,dictator,dictatóir,/dik.'ta:.to:r/
di.'gam.m,/ˈdʲi.ɣəmʲ/',digamma,digamm,digaimm,/di.'gam.ma/
dis.'ki.pu.l,/ˈdʲe.ʃkʲə.bul/',discipulus,discipul,descipul,/dis.'ki.pu.lus/
'do.eg,/ˈdo.eg/,Doeg,Doeg,Doeg,/'do.eg/
dom.'ni.k,/ˈdoɱ.nəx/,*domnicus,domnic,domnach,/dom.'ni.kus/
'dra.ko:,/ˈdrawg/,dracō,draco,drauc,/'dra.ko:/
'du.pl,/ˈdu.bulʲ/,duplus,dupl,dupuil,/'du.plus/
'du.um.wir,/ˈdo:.ɱo:rʲ/,duumuir,duumuir,dómóir,/'du.um.wir/
e.ˈkle:.si.,/ˈe.gləʃ/,eclēsia,eclesi,eclais,/e.ˈkle:.si.a/
'e.le.fan.t,/ˈe.lʲə.fa:nʲtʲ/,elephantem,elephantem,elifáint,/e.le.'fan.tem/
em.bo.'lis.m,/ˈemʲ.bʲlʲə.ʃəm/,embolismus,embolism,embleisim,/em.bo.'lis.mus/
e.'pak.t,/ˈe.bəxt/,epactae,epact,epacht,/e.'pak.te:/
ˈe.pe.s,/ˈe.fʲəs/,Ephesus,Ephes,Ephes,/ˈe.pe.sus/
e.'fra.te:.,/ˈe.frə.dʲə.ðʲe/,Ephrataeus,Ephratae,Eufrat\ide,/e.'fra.te:.us/
e.'pis.tu.l,/ˈe.bʲə.ʃtʲəlʲ/,epistula,epistul,eipistil,/e.'pis.tu.la/
'eps.ko.p,/ˈeb.skəb/,*epscopus,epscop,epscop,/'eps.ko.pus/
'e.saw,/e:.su/,Esau,Esau,Éssu,/'e.saw/
es.'ko.p,/ˈe.skəb/,escopus,escop,escop,/es.'ko.pus/
eks.'kep.t,/ˈex.skəp.təðʲ/',exceptus,except,except\aid,/ek.'skep.tus/
eks.kom.mu:.ni.'ka:.ti.o:,/ˈesk.ɱən/,excommūnicātiō,excommunicatio,escmon,/eks.kom.mu:.ni.'ka:.ti.o:/
eks.hi.'ber.n,/ˈe.sərn/,exhibernum,exhibern,esarn,/eks.hi.'ber.num
ek.ˈsor.kis.t,/ˈex.sər.kə.stəðʲ/,exorcistus,exorcist,exarcist\id,/ek.ˈsor.kis.tus/
'fa.b,/ˈʃevʲ/,faba,fab,seib,/'fa.ba/
fa.'ta:.le,/ˈfa:.dəl/,fatāle,fatal,fátal,/fa.'ta:.le/
fe.'bra:.ri.,/ˈfʲe.vrə/,*febrārius,febrari,Febra,/fe.'bra:.ri.us/
fe:.mi.'ni:.n,/ˈfʲe.ɱʲən/,fēminīnus,feminin,feimen 1,/fe:.mi.'ni:.num/
fe.'nes.tr,/ˈʃe.nʲə.ʃtʲər/,fenestra,fenestr,seinester,/fe.'nes.tra/
'fer.ku.l,/ˈʃer.kəl/,ferculum,fercul,sercol,/'fer.ku.lum/
'fe:.ri.,/ˈʃe:.rʲe/,fēria,feri,séire,/'fe:.ri.a/
fe:.ri.'a:.l,/ˈfʲe:.ro:lʲ/,fēriālis,ferial,féróil,/fe:.ri.'a:.lis/
'fi:.bu.l,/ˈʃi:.vəl/,fībula,fibul,síbal,/'fi:.bu.la/
ˈfik.t,/ˈʃext/,fictus,fict,secht,/ˈfik.tus/
'fi:.ku.l,/ˈfʲi:.gul.de/,fīcula,ficul,fícul\dae,/'fi:.ku.la/
'fi.gu:.r,/ˈfʲi.ɣər/,figūra,figur,figor,/'fi.gu:.ra/
fir.ma:.'men.t,/ˈfʲirʲ.mʲənʲtʲ/,firmāmentum,firmament,firmint,/fir.ma:.'men.tum/
fle:k.t,/ˈʃlʲe:x.təðʲ/,flēctō,flect,slécht\aid,/fle:k.to:/
'flo:.k,/ˈslo:x/,*flōcus,flocc,slóch,/'flo:.kus/
ˈfo:r.m,/ˈforʲmʲ/,fōrma,form,foirm,/ˈfo:r.ma/
fra.'gil.l,/ˈsro.ɣʲəl/,*fragillum,fragill,sroigel,/fra.'gil.lum/
'fre:.n,/ˈʃrʲiən/,frēnum,fren,srían,/'fre:.num/
ˈfur.n,/ˈsorn/,furnus,furn,sorn,/ˈfur.nus/
'fu:s.t,/ˈsu:st/,fūstis,fust,súst,/'fu:s.tis/
/ˈga.la.t,/ˈga.ləd/,Galatae,Galat,Galat,/ˈga.la.te:/
ga.li:.ˈle:.,/ˈga.ləlʲ/,Galīlaea,galilae,Galail,/ga.li:.ˈle:.a/
ˈgal.l,/ˈgaL/,Gallus,gall,Gall 1,/ˈgal.lus/
gar.'ga:.n,/ˈgar.ga:n/,Gargānus,Gargan,Gargán,/gar.'ga:.nus/
ge.ne.a:.'lo.gi.,/ˈgʲe.nʲə.ləx/,geneālogia,genealogi,genelach,/ge.ne.a:.'lo.gi.a/
ge.'ni.ti.o:,/ˈgʲe.nʲə.dʲiw/,*genitiō,genitio,genitiu,/ge.'ni.ti.o:/
ˈgen.t,/ˈgʲenʲ.tʲi/,gentēs,gent,geint\i,/ˈgen.te:s/
'gen.ti.l,/ˈgʲe.nʲ.tʲlʲə.ðʲe/,gentilis,gentil,gentl\ide,/'gen.ti.lis/
ge.'run.di.,/ˈgʲe.rəndʲ/,gerundium,gerundi,gerind,/ge.'run.di.um/
'glan.di.,/ˈgla.nʲe/,glandium,glandi,glaine 3,/'glan.di.um/
ˈglo:.s,/ˈgluəs/,glōsa,glos,glúas,/ˈglo:.sa/
gli.'ke.ri.,/ˈglʲi.ɣʲər.nəd/,Glycerium,Glyceri,gliger\nat,/gli.'ke.ri.um/
gra:.d,/ˈgra:ð/,*grādus,grad,grád 1,/gra:.dus/
gram.'ma.ti.k,/ˈgra.mə.dəkʲ/,grammatica,grammatic,grammataicc,/gram.'ma.ti.ka/
gra.w,/ˈgrafʲ/,grauis,grau,graif 3,/gra.wis/
'gre:.k,/ˈgre:g/,*grēcus,grec,gréc 1,/'gre:.kus/
'gri:.f,/ˈgʲrʲi:v/,grȳphus,gryph,gríb,/'gri:.fus/
ˈha.ba.kuk,/ˈam.bə.kuk./,Habacuc,habacuc,Ambaucuc,/ˈha.ba.kuk/
ha.'be:.n,/ˈa.vəN/,habēna,haben,abann,/ha.'be:.na/
he:.'re.s,/ˈe.rʲəs/,haeresis,haeres,eres,/he:'re.sis/
he:.'re.ti.k,/ˈe.rʲə.dʲəg/,haereticus,haeretic,eritic,/he:.'re.ti.kus/
he.'bre:.,/ˈe.vre/,Hebraeus,hebrae,Ebrae 1,/he.'bre:.us/
he.ri.o.'so.li.m,/ˈi.ru.sə.lʲəɱ/,Heriosolyma,Heriosolym,Irusalem,/he.ri.o.'so.li.ma/
he:.'ro:.de:,/ˈe.ro:ðʲ/,Hērōdēs,herode,Heróid,/he:.'ro:.de:s/
he:.ˈro:.i.k,/ˈe.rʲe:x.ðe/,hērōicus,heroic,eréc\dae,/he:.ˈro:.i.kus/
'he.saw,/e.ˈsaw/,Hesau,Hesau,Esau,/'he.saw/
hi.e.'ro:.ni.m,/ˈkʲi.rʲə.nʲe/,Hierōnymus,hieronym,Cir\ine,/hi.e.'ro:.ni.mus/
'ho.nor,/ˈo.no:rʲ/,honor,honor,onóir,/'ho.nor/
'ho:.r,/ˈo:r/,hōra,hor,úar,/'ho:.ra/
ho.ra.ti.'a:.n,/ˈo.rə.tʲən.de/,horatiānus,horatian,oratian\dae,/ho.ra.ti.'a:.n/
'ho.se.a,/ˈo.se/,Hosea,Hosea,Ossæ,/'ho.se.a/
ˈhu.mi.l,/ˈu.ɱəl/,humilis,humil,umal,/ˈhu.mi.lis/
hu.mi.li.ˈta:.t,/ˈu.ɱəl.do:dʲ/,humilitātem,humilitat,umaldóit,/hu.mi.li.ˈta:.tem/
ja:.'ju:.ni.,/ˈaj.nʲe/,iāiūnium,iaiuni,aíne,/ja:.'ju:.nium/
i:.'do:.l,/ˈi:.ðəl/,īdōlum,idol,ídol,/i:.'do:.lum/
i.'do:.ne.,/ˈi.ðən/,idōneus,idone,idan,/i.'do:.ne.us/
i.du.'me:.,/ˈiə.ðuɱ.ðe/,Idumaea,Idumae,íadum\dae,/i.du.'me:.a/
'je.bus,/ˈe.vu.ste/,Iebus,Iebus,ebus\tae,/'je.bus/
je.'na:.ri.,/ˈje.nər/,*ienārius,ienari,Ienar,/je.'na:.ri.us/
'je:.su:,/ˈi:.su/,Iēsūs,iesu,Ísu,/'je:.su:s/
'je.su.a,/ˈʲe.su/,Iesua,Iesua,Iessu,/'je.su.a/
i.ˈfer.n,/ˈi.fʲərn/,*ifernum,ifern,ifern,/i.ˈfer.nus/
'i:.li.k,/ˈi.lʲəx.ðe,īlicem,ilic,ilec\de,/'i:.li.kem/
'i:.liŋ.n,/ˈi.lʲəɣ.nʲə.ðʲe/,īlignus,ilign,ilign\ide,/'i:.liŋ.nus/
i:.'ma:.go:,/ˈi:.ɱa:ɣʲ/,*īmāgō,imago,ímáig,/i:.'ma:.go:/
ˈim.pro.b,/ˈam.prəɱ/,improbus,improb,amprom,/ˈim.pro.bus/
'i.na.k,/ˈi.nəx.ðe/,Inachus,Inach,inach\dae,/'i.na.kus/
in.ˈdik.ti.o:,/ˈin.dʲəxt/,indictiō,indictio,indecht,/in.ˈdik.ti.o:/
in.fi:.'ni:.t,/ˈinʲ.fʲə.nʲədʲ/,infīnītum,infinit,infinit,/in.fi:.'ni:.tum/
in.'no.ku.,/ˈe.Nəg/,innocuus,innocu,ennac,/in.'no.ku.us/
i:n.skri:.'ben.d,/ˈinʲ.ʃkʲrʲi:.vʲənd/,īnscrībendum,inscribend,inscríbend,/i:n.skri:.'ben.dum/
in.tel.'lek.t,/ˈinʲ.tʲluxt/,intellectus,intellect,intliucht,/in.tel.'lek.tus/
in.ten.ti.o:,/ˈinʲ.tʲəN/,intentiō,intentio,intinn,/in.ten.ti.o:/
in.ter.'jek.ti.o:,/ˈinʲ.tʲə.rʲəxt/,interiectiō,interiectio,interiecht,/in.ter.'jek.ti.o:/
jo.ab,/ˈjo.av/,Ioab,Ioab,Ioäb,/jo.ab/
jo:.'an.ne:,/ˈjo.anʲ/,Iōannēs,ioanne,Iohain,/jo:.'an.ne:s/
jo:b,/ˈjo:v/,Iōb,Iob,Iób,/jo:b/
'jo.na.ta:n,/ˈjo.na.θan/,Ionathān,Ionathan,Ionathan,/'jo.na.ta:n/
ˈjor.da.ne:n,/ˈjor.da.nʲe:n/,Iordanēn,Iordanēn,Iordanén,/ˈjor.da.ne:n/
jo:.'se:.f,/ˈjo.ʃiəv/,Iōsēphus,Ioseph,Ioseph,/jo:.'se:.fus/
i:.ro:.ˈni:.,/ˈi:.ro:nʲ/,īrōnīa,ironi,íróin,/i:.ro:.ˈni:.a/
ˈi.sa.a:k,/ˈi.sa.ak/,Isaāc,Isaac,Isáac,/ˈi.sa.a:k/
'is.majl,/ˈi.smajl/,Ismael,Ismael,Ismaíl,/'is.majl/
is.ˈra:.e:l,/ˈi.sra.el/',Isrāēl,Isrāēl,Israël,/is.ˈra:.e:l/
i.ˈta.li.,/ˈe.da:lʲ/,italia,itali,Etáil,/i.ˈta.li.a/
ju:da,/ˈju:.ða/',Iūdās,iuda,Iuda,/ju:da:s/
ju:da,/ˈju:.ðəs/',Iūdās,iuda,Iudas,/ju:da:s/
ju:.'de:.,/ˈju:.ðe.i/',Iūdaeus,iudae,Iúdaei,/ju:.'de:.us/
'ju:.li.,/ˈju:lʲ/,Iūlius,iuli,iúil,/'ju:.li.us/
ka.'len.d,/ˈka.lənd/,Kalendae,kalend,caland,/ka.'len.de:/
ka.'len.d,/ˈko.Lən.də.rəxt/,Kalendae,kalend,colland\oracht,/ka.'len.de:/
la.'bo:.r,/ˈlu.vərʲ/,labōrem,labor,lubair,/la.'bo:.rem/
'la:.i.k,/ˈlajx/,lāicus,laic,láech,/'la:.i.kus/
'la:.mi.n,/ˈlaN/,lāmina,lamin,lann,/'la:.mi.na/
'la:r.t,/ˈlart/,Lartem,lart,lart,/'la:r.tem/
'la.ter,/ˈla.tʲər/,later,later,later,/'la.ter/
la.'ti:.n,/ˈla.dʲən/,Latīna,latin,Laiten,/la.'ti:.na/
la.'ti:.n,/ˈla.dʲən/,Latīnus,latin,Latin,/la.'ti:.nus/
la.'tro:n,/ˈla.drəN/,latrōnem,latron,latrann,/la.'tro:.nem/
law.'ren.ti.,/ˈlaw.rʲən.tə.ðʲe,Laurentium,laurenti,laurent\ide,/law.'ren.ti.um/
'lak.s,/ˈlaxs/,laxus,lax,lax,/'lak.sus/
'le.g,/ˈlʲe:.ɣəðʲ/,legō,leg,lég\aid,/'le.go:/
le.'gen.d,/ˈlʲe:.ɣʲənd/,legendum,legend,léigend,/le.'gen.dum/
'le.gi.o:,,legiōnem,legion,leigeón,/'le.gi.o:/
'le.gi.o:,,legiōnem,legion,léigeón,/'le.gi.o:/
'le.o:,/ˈlʲew/,leō,leo,leo,/'le.o:/
le.wi.'a:.tan,/ˈlʲe.vʲə.ða:n/,Leviāthan,leviathan,Lebedán,/le.wi.'a:.tan/
le:.wi:.t,,Lēvītēs,Levit,Leuit\e,/le:.wi:.te:s/
'li.ba.n,/lʲew.an/,Libanus,Liban,leuan,/'li.ba.nus/
'li.br,/ˈlʲe.vər/,librum,libr,lebor,/'li.brum/
'li.ket,/ˈlʲe.gʲəd/,licet,licet,lecet,/'li.ket/
ˈli.gu.r,/ˈlʲi.ɣər.ðe/,Ligurēs,Ligur,ligor\dae,/ˈli.gu.re:s/
'li:.n,/ˈlʲi:n.de/,līnum,lin,lín\dae,/'li:.num/
'li:.ne.,/ˈlʲi:.nʲəx/,līnea,line,lín\ech,/'li:.ne.a/
'li.kwi.d,/ˈlʲex.ðəɣʲ.θʲe/,liquidus,liquid,lechd\aig\the,/'li.kwi.dus/
'li:.t,/ˈlʲi:θ/,lītus,lit,líth,/'li:.tus/
li.'ta.ni.,/ˈlʲi.da:n/,litania,litani,litán,/li.'ta.ni.a/
'lit.te.r,/ˈlʲi.tʲər/,littera,litter,litter,/'lit.te.ra/
'lo.k,/lˈog/,locus,loc,loc,/'lo.kus/
'loŋ.g,/ˈloŋ/,(nāvis) longa,long,long 1,/'loŋ.ga/
lo:.'ri:.k,/ˈlu:.rəx/,lōrīca,loric,lúirech,/lo:.'ri:.ka/
'lu.ka,/lu.kəs/,Lucas,luca,Lucas,/'lu.kas/
lu:.'ker.n,/ˈlo:.xərn/,*lūcerna,lucern,lócharn,/lu:.'ker.na/
'lu:.ki.fer,/lu.kʲə.fʲər/,lūcifer,lucifer,Lucifer,/'lu:.ki.fer/
lu.'na:.r,/ˈlu.na:rʲ/,*lunāris,lunar,lunáir,/lu.'na:.ris/
mak.ka.'be:.,/ˈma.xəv.ðe/,Maccabaeus,Maccabae,machab\dae,/mak.ka.'be:.us/
mak.ka.ˈbe:.,/ˈma.xə.ve/,Maccabaeus,Maccabae,Machabae,/mak.ka.ˈbe:.us/
ma.ke.'do.ni.,/ˈma.kʲə.ðo:n.de/,Macedonia,macedoni,Maccidón\dae,/ma.ke.'do.ni.a/
ma.'ke.ri.,/ˈma.gre/,maceria,maceri,macrae,/ma.'ke.ri.a/
'ma.ku.l,/ˈma:.xəLʲ/,macula,macul,máchaill,/'ma.ku.la/
ˈma.ku.l,/ˈmo.gəl/,macula,macul,mocol,/ˈma.ku.la/
ma.'gis.ter,/ˈma.ɣʲə.ʃtʲər/,magister,magister,maigister,/ma.'gis.ter/
mal.'di:.k,/ˈmal.də.xəðʲ/,*maldīcō,maldic,maldach\aid,/mal.'di:.ko:/
mal.'dik.ti.o:,/ˈmal.dəxt/,*maldictiō,maldictio,maldacht,/mal.'dik.ti.o:/
ma.na.'ki:.,/ˈma.nəx/,*manachus,manach,manach,/ma.na.'ki:.um/
'ma.na.k,/ˈmanʲ.xʲe/,*manachīum,manachi,mainche,/'ma.na.kus/
ma.'nas.se,/ma.Nʲə.ʃe/,Manassēs,manasse,Mannese,/ma.'nas.se:s/
'ma.ni.a,/ˈma:.nʲə/,mania,mania,máinia,/'ma.ni.a/
'man.n,/ˈmaN/,manna,mann,mann,/'man.na/
ma.'ri:.,/ˈma.rʲe/,Marīa,mari,Maire,/ma.'ri:.a/
ma.ˈri:.a,/maˈrʲi.a/,Marīa,Maria,Maria,/ma.ˈri:.a/
'ma:r.k,/ˈmark/,Mārcus,marc,Marc,/'ma:r.kus/
ma:r.'kel.l,/ˈmar.kəLʲ/,Mārcellus,Marcell,Marcill,/ma:r.'kel.lus/
mar.'do.ke.,/ˈmor.də.xʲe.i/,Mardocheus,Mardoche,Mordochei,/mar.'do.ke.us/
mar.ga.'ri:.t,/ˈmar.gə.rʲe:d/,margarīta,margarit,margarét,/mar.ga.'ri:.ta/
ˈmar.gi.n,/ˈmar.gən/,marginem,marginem,margan,/ˈmar.gi.nem/
'mar.mor,/ˈmar.mər/,marmor,marmor,marmar,/'mar.mor/
'ma:r.t,/ˈmarʲtʲ/,(diēs) mārtis,mart,mairt,/'ma:r.tis/
'mar.t,/ˈmart/,Martis,mart,Mart,/'mar.tis/
'mar.tir,/ˈmar.tər/,martyr,martyr,martar,/'mar.tir/
'mas.ku.l,/ˈma.skul/,masculus,mascul,mascul,/'mas.ku.lus/
mas.ku.'li:.n,/ˈma.sku.lʲən.de/,masculīnus,masculin,masculin\dae,/mas.ku.'li:.nus/
'mas.s,/ˈmas/,massa,mass,mass,/'mas.sa/
ma'ti:.n,/ˈma.dən/,(hōra) matīna,matin,matan,/ma'ti:.na/
'me:.d,/ˈmʲeð/,Mēdus,Med,Med 2,/'me:.dus/
ˈme.di.k,/ˈmʲi.ðəx/,medicus,medic,midach,/ˈme.di.kus/
mel.'ki.se.dek,/ˈmʲel.kə.ʃə.ðʲəx/,Melchisedech,Melchisedech,Melchisedech,/mel.'ki.se.dek/
ˈmem.brum,/ˈmʲem.brum/,membrum,membr,membrumm,/ˈmem.brum/
me.'mo.ri.,/ˈmʲe.vurʲ/,memoria,memori,mebuir,/me.'mo.ri.a/
me.'mo.ri.,/ˈmʲe.mre/,memoria,memori,memmrae,/me.'mo.ri.a/
men.'di:.k,/ˈmʲinʲ.dʲəx/,mendīcus,mendic,mindech,/men.'di:.kus/
mer.'ku.ri.,/ˈmʲer.kurʲ/,Mercurius,mercuri,MercUir,/mer.'ku.ri.us/
me.ˈre.tri.k,/ˈmʲerʲ.dʲrʲəx/,meretricem,meretric,meirdrech,/me.ˈre.tri.kem/
me.'su:.r,/ˈmʲe.sər/,*mesūra,mesur,messar,/me.'su:.ra/
'me.tr,/ˈmʲe.dər/,metrum,metr,metar 1,/'me.trum/
me:.'tro.po.l,/ˈme.drə.bəlʲ/,mētropolis,metropol,metrapoil,/me:.'tro.po.lis/
'mi.ka.e:l,/ˈmʲi:.xʲe:l/,Michaēl,Michael,Míchél,/'mi.ka.e:l/
'mi:.le,/ˈmʲi:l/,mīles,mile,míl 2,/'mi:.les/
'mi:.li.,/ˈmʲi:.lʲe/,mīlia,mili,míle,/'mi:.li.a/
'mi:.n,/ˈmʲin/,mīnus,min,min 1,/'mi:.nus/
mi:.'ra:.bi.l,/ˈmʲi:r.vəlʲ/,mīrābilis,mirabil,mírbail,/mi:.'ra:.bi.lis/
'mo:.ab,/ˈmo.av/',Mōab,Moab,Moab,/'mo:.ab/
'mo.d,/ˈmoð/,modus,mod,mod,/'mo.dus/
'mo.di.,/ˈmu.ðʲe/,modius,modi,muide,/'mo.di.us/
mo.'li:.n,/ˈmu.lʲəN/,molīna,molin,muilenn,/mo.'li:.na/
mo.nas.'te:.ri.,/ˈmo.nʲə.ʃtʲərʲ/,monastērium,monasteri,moinistir,/mo.nas.'te.ri.um/
mo.'ne:.t,/ˈmo.nəð/,monēta,monet,monad,/mo.'ne:.ta/
mo.nis.'te.ri.,/ˈmunʲ.tʲər/,*monistērium,monisteri,muinter,/mo.nis.'te.ri.um/
mo:.'ra:.lis,/ˈmo.ra:.lus/,*morālis,moralis,morálus,/mo:.'ra:.lis/
mor.ˈta:.li.ta,/ˈmor.tləθʲ/,mortālitas,mortālita,mortlaith,/mor.ˈta:.li.ta.s/
mor.ti.'ki.ni.,/ˈmorʲtʲ.xʲəN/,morticinium,morticini,moirtchenn,/mor.ti.'ki.ni.um/
mo.ˈi:.se:,/ˈmo.i.ʃi/,Mō̆ȳsēs,Mō̆ȳsē,Moysi,/mo.ˈi:.se:s/
'mu:.l,/ˈmu:l/,mūlus,mul,múl,/'mu:.lus/
'mu:.r,/ˈmu:r/,mūrus,mur,múr,/'mu:.rus/
'mu:.t,/ˈmu:t/,mūtus,mut,mút,/'mu:.tus/
'mir.t,/ˈmʲirt/,myrtus,myrt,mirt–,/'mir.tus/
na.bu.ko.'do.no.sor,/ˈnav.kə.ðən/,Nabuchodonosor,Nabuchodonosor,Nabcodon,/na.bu.ko.'do.no.sor/
na.bu.ko.'do.no.sor,/ˈnav.kə.ðə.nə.sər/,Nabuchodonosor,Nabuchodonosor,Nabcodonozor,/na.bu.ko.'do.no.sor/
na.ta:.'li.ki.,/ˈno.dləgʲ/,*natālicius,natalici,notlaic,/na.ta:.'li.ki.us/
'na.tan,/ˈna.θən/,Nathan,Nathan,Nathan,/'na.tan/
ˈnew.tr,/ˈnʲew.dur/,neutrum,neutr,neutur,/ˈnew.trum/
new.'tra:.l,/ˈnʲew.du.ra:l.de/,neutrālis,neutral,neuturál\dae,/new.'tra:.lis/
ˈni.hil,/ˈnʲi.e.ləs/',nihil,nihil,nihel\as,/ˈni.hil/
'no:.e:,/ˈno.e/,Nōē,Noe,Nóë,/'no:.e:/
ˈno:.n,/ˈno:n/,nōna,non,nón,/ˈno:.na/
'no.t,/ˈnod/,nota,not,not,/'no.ta/
'no.t,/ˈno.θəθ/,nothus,noth,nothath,/'no.tus/
'nu.me.r,/ˈnu.ɱʲərʲ/,numerus,numer,nuimir,/'nu.me.rus/
'nun,/ˈnun/,Nun,nun,Nun,/'nun/
'o.be.l,/ˈo.vʲəl/,obelus,obel,obel,/'o.be.lus/
ob.'la:.t,/ˈov.le/,oblāta,oblat,oblae,/ob.'la:.ta/
'o.kre.,/ˈo.xrə/,ocreae,ocre,ochra,/'o.kre.e:/
ok.'tem.ber,/ˈox.təmʲ.bʲərʲ/,*octember,octember,Ochtimbir,/ok.'tem.ber/
of.fe.'ren.d,/ˈo.fʲrʲənd/,offerendum,offerend,oifrend,/of.fe.'ren.dum/
o.'le.,/ˈo.le/,oleum,ole,olae,/o.'le.um/
'o.pe.r,/ˈo.bər/,opera,oper,opar,/'o.pe.ra/
op.ta:.'ti:.w,/ˈob.tədʲ/,optātīuus,optatiu,optait,/op.ta:.'ti:.wus/
o.'ra:.kl,/ˈa.rə.gəl/,*orāclum,oracl,aracol,/o.'ra:.klum/
o.'ra:.kl,/ˈorʲ.gʲlʲəx/',*orāclum,oracl,oirgl\ech,/o.'ra:.klum/
o.'ra:.ti.o:,/ˈo.ro:dʲ/,*orātiō,oratio,oróit,/o.'ra:.ti.o:/
o.'ra:.ti.o:,/ˈor.θə/,*orātiō,oratio,ortha,/o.'ra:.ti.o:/
