Latin Stem,Irish Stem,Latin Lemma,Irish Autodate Lemma,IrishS Standardized Lemma,ALT LEMMA,Root of Excluded Derivative,Source,Omission Reason
ko.'lum.n,/ˈkol.ve/,columna,–colbae,–colbae,,,Wb.,Unclear Etymology
ˈa.bel,/ˈa.vʲe:l/,Abel,Abél,Abél,,,"Wb.,Blathmac",Hebrew>Latin>Irish
a.'bi.me.lek,/ˈa.vʲə.ɱʲə.lʲəx/,Abimelech,Abimelech,Abimelech,,,Ml.,Hebrew>Latin>Irish
ap.sa.lon,/ˈa.vʲə.sə.lən/,Absalon,Abisolon,Abisolon,,,Ml.,Hebrew>Latin>Irish
a:.bra.he:,/ˈa.vra.e/,Ābrahae,Abrache,Abrache,,,Wb.,Hebrew>Latin>Irish
a:.bra.ham,/ˈavra.aɱ/,Ābraham,Abraham,Abraham,,,"Wb.,Blathmac,Ml.",Hebrew>Latin>Irish
a:.bram,/ˈa.vrəɱ/,Ābram,Abram,Abram,,,Ml.,Hebrew>Latin>Irish
a.'ki.to.fel,/a.xʲə.təfəl/,Achitophel,Achitofel,Achitofel,,,Ml.,Hebrew>Latin>Irish
,,,,acuit-ig-idir,,acuit,Sg.,Derivative
a:.da:.m,/ˈa:.ðəɱ/,Ādām,Ádam,Ádam,,,"Wb.,Blathmac,MG",Hebrew>Latin>Irish
,,,,adr-ad,,ad·ora,Wb.,Derivative
aj.'ne:,/ˈaj.nʲe:.ðe,Aenēās,aenee\dae,aenee-dae,,Aeneas,Sg.,Latin Derivative
,,,,aín-id,oín-aid,aíne [aín],Wb.,Derivative
,,,Alpión,Alpión,,,McManus/Other,Unclear Etymology
,,,,altóir-net,altór-nat,altóir,Sg.,Derivative
ˈim.pro.b,/ˈam.prəɱ/,improbus,amprom,am-prom,,prom-aid,Ml.,Derivative
,,,,am-prom-ae,,prom-aid,Sg.,Derivative
ˈha.ba.kuk,/ˈam.bə.kuk./,Habacuc,Ambaucuc,Ambaucuc,,,Wb.,Hebrew>Latin>Irish
ˈam.mon,/ˈa.mən/,Ammon,Ammon,Ammon,,,Ml.,Hebrew>Latin>Irish
,,,,ammon-dae,,Ammon,Ml.,Derivative
,,,,An-chríst,Ant-chríst,Críst,"Wb.,Blathmac",Derivative
,,,,anién-dae,,Anién [Anien],Sg.,Derivative
a.ˈna.ni.,/ˈan.ne/,Ananiās,Annae,Annae,,,Blathmac,Hebrew>Latin>Irish
,,,,apstal-acht,,apstal,"Wb.,Ml.",Derivative
ˈa.ran,/ˈa.rən/,Aran,Aran,Aran,,,Ml.,Hebrew>Latin>Irish
ar.'kaŋ.ge.l,/ˈar.xəŋʲ.gʲəl/,archangelus,archaingel,arch-aingel,arc-aingel,aingel,Blathmac,Derivative
,,,,arm-aid,,arm,Ml.,Derivative
,,,,arm-tha-tu,,arm,Sg.,Derivative
ˈa.a.ro:n,/ˈa.rən/,Aarōn,Aron,Aron,,,Ml.,Hebrew>Latin>Irish
,,,,articol-dae,,articol,Sg.,Derivative
ˈa.sap,/ˈa.səf/,Asaph,Asaph,Asaph,,,Ml.,Hebrew>Latin>Irish
as.'si.ri.,/ˈa.sər/,Assyria,Asar,Asar,,,Ml.,Hebrew>Latin>Irish
,,,,asar-dae,,Asar,Ml.,Derivative
,,,,at-trácht-ad,,trácht-aid,Sg.,Derivative
,,,,atac-dae,,Atac,Sg.,Derivative
,,,,augtor-tás,augtar-tás,"augtor [auctor,augtar]",Wb.,Derivative
ba.bi.lo:n,/ˈba.vʲə.lo:n/,Babylōn,Babilón,Babilón,,,"Blathmac,Ml.",Hebrew>Latin>Irish
,,,,babilón-dae,babilon-dae,Babilón,Ml.,Derivative
ˈba.al,/ˈba.al/,Baal,Bachal,Bachal,,,Wb.,Hebrew>Latin>Irish
,,,,baits-id,baiths-id,baithes,"Wb.,Blathmac,MG",Derivative
ˈba.la.am,/ˈba:.ləɱ/,Balaam,Bálam,Bálam,,,Blathmac,Hebrew>Latin>Irish
ba.ˈrab.ba:,/ˈba.rə.va:n/,Barabbās,Barab-án,Barab-án,,,Blathmac,Hebrew>Latin>Irish
ˈbar.na.ba:,/ˈbar.nəbʲ/,Barnabās,Barnaip,Barnaip,,,Wb.,Hebrew>Latin>Irish
,,,,Barnap-án,,Barnaip,Wb.,Derivative
be:t.le.'he:.m,/ˈbʲe.θʲlʲəɱ/,Bēthlehēmum,Beithlem,Beithlem,,,MG,Hebrew>Latin>Irish
ˈbel.ze.but,/ˈbʲel.sə.fuθ/,Belzebuth,Belzefuth,Belzefuth,,,Wb.,Hebrew>Latin>Irish
,,,,bendach-ad,,bendach-t,"Wb.,Ml.",Derivative
,,,,bendach-aid,,bendach-t,"Wb.,Blathmac,Ml.",Derivative
,,,,bendach-thae,,bendach-t,Wb.,Derivative
ˈben.ja.min,/ˈbʲe.nʲə.ɱʲi:n/,Beniamin,Beneamín,Beneamín,,,Ml.,Hebrew>Latin>Irish
,,,,beneamín-ech-dae,beniaminecdae,Beneamín,Ml.,Derivative
ˈbe.or,/ˈbʲe.or/,Beor,Beor,Beor,,,Blathmac,Hebrew>Latin>Irish
ber.ˈsa.be.e,/ˈbʲer.sə.ve/,Bērsabee,Bersabae,Bersabae,,,Ml.,Hebrew>Latin>Irish
,,,Bethel,Bethel,,,"Blathmac,Ml.",Hebrew>Latin>Irish
,,,,bethelem-dae,,,Ml.,Hebrew>Latin>Irish
,,,,bíast-aide,,béist/bíast,Ml.,Derivative
,,,,bisse,,bissex,MG,Derivative
,,,,borg-dae,,borg,Sg.,Derivative
kan.de.'la:.r,/ˈkanʲ.dʲlʲo:rʲ/,candelārius,caindleóir,caindl-eóir,,caindel,Wb.,Derivative
ka.'ja:.fa:s,/ˈka.i.fəs/,Caīphās,Caïphas,Caïphas,,,Blathmac,Hebrew>Latin>Irish
kal.'de:.,/ˈkald/,Chaldaeus,Cald,Cald,,,"Blathmac,Ml.",Hebrew>Latin>Irish
,,,,cald-[d]ae,,Cald,Ml.,Derivative
,,,,cald-aide,,Cald,Ml.,Derivative
,,Calebus,Caleb,Caleb,,,"Wb.,MG",Hebrew>Latin>Irish
kal.'de:.,/ˈkal.de.a/,Chaldaea,Caldea,Calldea,Caldea,,Ml.,Hebrew>Latin>Irish
ˈka.n,/ˈka.nə/,Cana,Cana,Cana,,,Blathmac,Hebrew>Latin>Irish
ˈka.na.a:n,/ˈka.Na:n/,Chanaān,Cannán,Cannán,,,"Blathmac,MG",Hebrew>Latin>Irish
,,,,cannán-dae,cannan-dae,Cannán,Ml.,Derivative
,,,,car-mocol,,mocol,Sg.,Derivative
ˈkat,/ˈkaθ/,Chath,Cath,Cath,,,Ml.,Hebrew>Latin>Irish
,,,,cedar-dae,,cedair,Ml.,Derivative
,,,,ceilebr-ad,,ceilebr-aid,Wb.,Derivative
ki:.r,/ˈkʲer/,Cȳrus,Cer,Cer,,,MG,Hebrew>Latin>Irish
ˈkam,/ˈkaɱ/,Cham,Cham,Cham,,,Ml.,Hebrew>Latin>Irish
ˈke.ru.bi:n,/ˈxʲe.ru.fʲi:n/,Cherubīn,Cherupín,Cherupín,,,Blathmac,Hebrew>Latin>Irish
ˈkus,/ˈkus/,Chus,Chus,Chus,,,Ml.,Hebrew>Latin>Irish
ki:.r,/ˈkʲi:r/,Cȳrus,Cír,Cír,,,Ml.,Hebrew>Latin>Irish
,,,,cís-tae,,cís,Sg.,Derivative
,,,,clan[d]-tae,,cland,"Wb.,Sg.",Derivative
,,,,cland-aid,,cland,"Wb.,Ml.,Sg.",Derivative
kle:.ri.k,/ˈkʲlʲe:.rʲəx/,clēricus,cléirech,cléirech,,clér,McManus/Other,Derivative
,,,,coisecr-ad,cosecr-ad,con·secra,Ml.,Derivative
kol.ki.,/ˈkol.xi.e/,Colchis,colchiae,colchi-ae,,colche-de?,Sg.,Derivative
ka.'len.d,/ˈko.Lən.də.rəxt/,kalendae,colland\oracht,collandor-acht,,caland,Ml.,Latin Derivative
,,,,colum-nat,,columm,Sg.,Derivative
,,,,con·scríb-a,,scríb-aid,Blathmac,Derivative
,,,,corcr-ach,,corcur,MG,Derivative
,,,,corcr-ae,,corcur,Blathmac,Derivative
ˈko.re,/ˈko.re/,Core,Core,Core,,,Ml.,Hebrew>Latin>Irish
,,,,Corint-[t]ae,,Corint,Wb.,Derivative
,,,,cornal-dae,,Cornil,Sg.,Derivative
,,,,corp-ach,,corp,Sg.,Derivative
,,,,corp-dae,,corp,Wb.,Derivative
,,,,corp-tha-tu,corp-tha-du,corp,Wb.,Derivative
,,,,críst-aide,,Críst,"Wb.,Ml.",Derivative
,,,,croch-ad,,croch,"Wb.,Blathmac,Ml.",Derivative
,,,,croch-aid,,croch,"Wb.,Blathmac,Ml.",Derivative
,,,,croch-thae,,croch,"Wb.,Blathmac",Derivative
kro.'ta.li.,/ˈkro.θlə/,crotalia,crothla,crothl-ae,crothl-a,crothal,McManus/Other,Derivative
,,,,cuirt-ide,,cuirt,Sg.,Derivative
,,,,cúrsag-ad,,cúrsag-aid,Wb.,Derivative
dam.n,/ˈdaɱ.nəð/,damnō,damn\ad,damn-ad,,dammain(-t),Wb.,Derivative
da.ni.e:l,/ˈda.nʲi.e:l/,Daniēl,Danïél,Danïél,,,MG,Hebrew>Latin>Irish
,,,,dé-chorp-dae,,corp,Sg.,Derivative
,,,,dé-ṡillab,,sillab,Sg.,Derivative
,,,,dé-ṡillab-ach,,sillab,Sg.,Derivative
,,,,dé-ṡillab-ach-dae,,sillab,Sg.,Derivative
,,,,dí-chest,,cest/ceist,Ml.,Derivative
di.'a.me.ter,/ˈdʲiə.θʲərʲ/',diameter,díaithir,díaithir,,,MG,Unclear Etymology
ˈdo.ek,/ˈdo.əɣ/,Doec,Doeg,Doeg,,,Ml.,Hebrew>Latin>Irish
da:.wi:d,/ˈdaw.iðʲ/,Dāuīd,Dauid,Duäid,Dúaid/Dauïd,,"Wb.,Blathmac,Ml.,MG",Hebrew>Latin>Irish
,,,,duäid-ech-dae,,Duäid [Dúaid/Dauïd],Ml.,Derivative
,,,,Ebrae 2,,Ebrae 1,Ml.,Derivative
,,,,ebrai-de,,Ebrae 1,Ml.,Derivative
je.bus,/'e.vuste/,Jebus,ebus\tae,ebus-tae,,,Ml.,Hebrew>Latin>Irish
,,Ephrāim,Effraim,Effraim,,,Ml.,Hebrew>Latin>Irish
,,,,éigept-ach-dae,,Éigept [Égept],"Wb.,Ml.",Derivative
e.li,/'e.lʲi/,Eli,Eli,Eli,,,Blathmac,Hebrew>Latin>Irish
e.man,/ˈeɱən/,Eman,Eman,Eman,,,Ml.,Hebrew>Latin>Irish
en.dor,/ˈen.dər/,Aendor,Endor,Endor,,,Ml.,Hebrew>Latin>Irish
e.'no:k,/ˈe.no:g/,Enōch,Enóc,Enóc,,,"Wb.,Blathmac",Hebrew>Latin>Irish
e:.o.le:n.s,/ˈew.lʲe:ns.te/,aeolēnsis,eolens\tae,eolens-tae,eolens-ta,eol-dae,Sg.,Latin Derivative
e:.'sa:.ja:s,/'e.sə.jəs/,Ēsāiās,Esaias,Esaias,,,Ml.,Hebrew>Latin>Irish
ˈhe.saw,/ˈe.saw/,Hesau,Esau,Esau,Issau,,"Wb.,Ml.",Hebrew>Latin>Irish
e.saw,/'e:.su/,Ēsau,Éssu,Éssu,,,MG,Hebrew>Latin>Irish
je:.su:,/'e:.su/,Iēsū,Ésu,Ésu,,,"Ml.,MG",Hebrew>Latin>Irish
,,,,etal-ach-dae,,Etáil,MG,Derivative
,,,,etal-dae,,Etáil,Sg.,Derivative
,,,,etar-son-dae,,son 1,MG,Derivative
,,Ezechiās,Ezechia,Ezechia,,,Ml.,Hebrew>Latin>Irish
,,Ezechiel,Ezechial,Ezechial,,,Ml.,Hebrew>Latin>Irish
,,Pharaō,Farao,Farao,,,"Blathmac,Ml.",Hebrew>Latin>Irish
,,,,felsub-ae,fellsube,felsub,Wb.,Derivative
,,Philistīnus,Filistín,Filistín,,,Ml.,Hebrew>Latin>Irish
,,,,filistín-dae,,Filistín,Ml.,Derivative
,,,,fín-e,,fín 1,"Blathmac,Ml.,MG",Derivative
,,,,fín-emain,,fín 1,Sg.,Derivative
,,,,fiugr-aid,,fiugor,"Wb.,Blathmac",Derivative
fi.'lis.tim,/ˈfʲli.ʃtʲəm/,Philisthim,Flistim,Flistim,,,MG,Hebrew>Latin>Irish
,,Gabaōnem/Gabaōn,Gabón,Gabón,,,Blathmac,Hebrew>Latin>Irish
,,Gabriēl,Gabrél,Gabrél,,,Blathmac,Hebrew>Latin>Irish
ga.li:.ˈle:.,/ˈga.ləlʲ/,Galīlaea,Galail,Galail,,,"Blathmac,MG",Hebrew>Latin>Irish
,,,,geintl-echt,geintl-ect,geintl-ide [gentl-ide],Wb.,Derivative
,,,,gréc 2,,gréc 1,Sg.,Derivative
,,,,gréc-dae,,gréc 1,"Sg.,MG",Derivative
hi.e.re.'mi.a:s,/'e.rə.mi.əs/,Hieremiās,Heremias,Heremias,,,Ml.,Hebrew>Latin>Irish
he:.'ro:.de:,/ˈe.ro:ðʲ/,Hērōdēs,Heróid,Heróid,,,Blathmac,Hebrew>Latin>Irish
/'ja.ko:b/,/ˈi.a.kəv/,Iacōb,Iäcob,Iäcob,,,"Wb.,Blathmac",Hebrew>Latin>Irish
i.du.'me:.,/ˈiə.ðuɱ.ðe/,Idumaea,íadum-dae,íadum-dae,,,Ml.,Hebrew>Latin>Irish
,,,,ídl-acht,,ídol [ídal],MG,Derivative
,,,,ídol-dae,ídol-de,ídol [ídal],Wb.,Derivative
,,Iessae,Iëse,Iëse 1,,,"Wb.,Blathmac",Hebrew>Latin>Irish
je.su.a,/ˈʲe.su/,Iesua,Iessu,Iessu,,,Wb.,Hebrew>Latin>Irish
,,,,ind-or-sa,,úar 2 [ór 2],Wb.,Derivative
i:n.skri:.'ben.d,/ˈinʲ.ʃkʲrʲi:.vʲənd/,īnscrībendum,inscríbend,inscríbend,,inscríbend,Ml.,Latin Derivative
jo.ab,/ˈjo.av/,Ioab,Ioäb,Ioäb,,,Ml.,Hebrew>Latin>Irish
jo:b,/ˈjo:v/,Iōb,Iób,Iób,,,Sg.,Hebrew>Latin>Irish
jo:.'an.ne:,/ˈjo.anʲ/,Iōannēs,Iohain,Iohain,,,"Wb.,MG",Hebrew>Latin>Irish
jo.na.ta:n,/ˈjo.na.θan/,Ionathān,Ionathan,Ionathan,,,Ml.,Hebrew>Latin>Irish
ˈjor.da.ne:n,/ˈjor.da.nʲe:n/,Iordanēn,Iordanén,Iordanén,,,"Blathmac,MG",Hebrew>Latin>Irish
jo:.'se:.f,/ˈjo.ʃiəv/,Iōsēphus,Ioseph,Ioseph,,,"Blathmac,Ml.",Hebrew>Latin>Irish
ˈke.ru.bi:n,/ˈi.ru.fʲi:n/,cherubīn,Iruphín,Iruphín,,,Ml.,Hebrew>Latin>Irish
he.ri.o.'so.li.m,/ˈi.ru.sə.lʲəɱ/,Heriosolyma,Irusalem,Irusalem,,,"Wb.,Blathmac,Ml.,MG",Hebrew>Latin>Irish
ˈi.sa.a:k,/ˈi.sa.ak/,Isaāc,Isáac,Isáac,Isác,,"Wb.,Ml.,MG",Hebrew>Latin>Irish
is.majl,/ˈi.smajl/,Ismael,Ismaíl,Ismaíl,,,Wb.,Hebrew>Latin>Irish
is.ˈra:.e:l,/ˈi.sra.el/,Isrāēl,Israël,Israël,,,"Wb.,Blathmac,Ml.,MG",Hebrew>Latin>Irish
,,,,israël-dae,israel-dae,Israël,"Wb.,Ml.",Derivative
je:.su:,/ˈi:.su/,Iēsūs,Ísu,Ísu,,,"Wb.,Blathmac,Ml.,MG",Hebrew>Latin>Irish
,,,,iúd-aig-idir,iúd-ig-id,Iúdae [Iuda],Wb.,Derivative
ju:da:,/ˈju:.ða:/',Iūdās,Iuda,Iúda,Iuda,,"Blathmac,Ml.,MG",Hebrew>Latin>Irish
ju:.'de:.,/ˈju:.ðe.i/',Iūdaeus,Iúdaei,Iúdaei,,,"Wb.,Blathmac,Ml.",Hebrew>Latin>Irish
,,,,iúdai-de,,Iúdae [Iuda],"Wb.,Ml.",Derivative
ju:da:s,/ˈju:.ðəs/',Iūdās,Iudas,Iudas,,,"Blathmac,Ml.",Hebrew>Latin>Irish
,,Iūdaea,Iúdé,Iúdé,Iudé,,Blathmac,Hebrew>Latin>Irish
la.'ti:.n,/ˈla.dʲən/,Latīna,Laiten,Laiten,,,Ml.,Latin Derivative
la:.mi.n,/ˈlaN/,lāmina,lann,lann,,,"Wb.,MG",Unclear Etymology
li.br,/ˈlʲe.vər/,librum,lebor,lebar-dae,,lebor,Sg.,Derivative
le.wi.'a:.tan,/ˈlʲe.vʲə.ða:n/,Leviāthan,Lebedán,Lebedán,libedhan,,"Blathmac,Ml.",Hebrew>Latin>Irish
,,,,lebr-án,,lebor,Sg.,Derivative
le.'gen.d,/ˈlʲe:.ɣʲənd/,legendum,léigend,léigend,,lég-aid,"Wb.,Ml.",Latin Derivative
li.ba.n,/lʲew.an/,Libanus,leuan,Leuan,,,Ml.,Hebrew>Latin>Irish
le:.wi,/lʲew.i/,Lēvi,Leui,Leui,,,"Ml.,MG",Hebrew>Latin>Irish
,,,,littr-ed,,litter,Sg.,Derivative
,,,,littr-ed-acht,,litter,Sg.,Derivative
mak.ka.'be:.,/ˈma.xəv.ðe/,Maccabaeus,machab-dae,machab-dae,,,"Blathmac,Ml.",Hebrew>Latin>Irish
mak.ka.ˈbe:.,/ˈma.xə.ve/,Maccabaeus,Machabae,Machabae,,,Ml.,Hebrew>Latin>Irish
,,Madian,Madian,Madian,,,Blathmac,Hebrew>Latin>Irish
,,,,maigistr-echt,,maigistrecht,Ml.,Derivative
ma.na.'ki:.,/ˈmanʲ.xʲe/,*manachīum,mainche,mainche,,manach,McManus/Other,Derivative
ma.'ri:.,/ˈma.rʲe/,Marīa,Maire,Maire,,,Blathmac,Hebrew>Latin>Irish
,,,,maiten-dae,matin-dae,maiten [matan],Ml.,Derivative
mal.'dik.ti.o:,/ˈmal.dəxt/,*maldictiō,maldacht,maldach-t,,maldach-aid,"Wb.,Ml.,MG",Derivative
ma.'nas.se,/ma.Nʲə.ʃe/,Manassēs,Mannese,Mannese,,,Ml.,Hebrew>Latin>Irish
,,,,marcel-dae,,marc,Sg.,Derivative
ma:r.'kel.l,/ˈmar.kəLʲ/,Mārcellus,Marcill,Marcill,,marc,Sg.,Latin Derivative
ma.ˈri:.a,/maˈrʲi.a/,Marīa,Maria,Maria,,,MG,Hebrew>Latin>Irish
,,,,martr-ae,,martar,"Wb.,Blathmac",Derivative
mas.ku.'li:.n,/ˈma.sku.lʲən.de/,masculīnus,masculin\dae,masculin-dae,,mascul,Sg.,Latin Derivative
,,Matthaeus,Mathae,Mathae,,,Blathmac,Hebrew>Latin>Irish
,,Mattathiās,Mathathias,Mathathias,,,Ml.,Hebrew>Latin>Irish
,,,,mebr-ach,,mebuir,Ml.,Derivative
,,,Melchisedech,Melchisedech,,,"Wb.,Blathmac",Hebrew>Latin>Irish
,,,,metar-dae,,metar 1,Ml.,Derivative
ˈmi.ka.e:l,/ˈmʲi:.xʲe:l/,Michaēl,Míchél,Míchél,,,Blathmac,Hebrew>Latin>Irish
,,,,mílt-e,,míle,Wb.,Derivative
mo:.ab,/ˈmo.av/',Mōab,Moab,Moäb,Moab,,Ml.,Hebrew>Latin>Irish
,,,,moäb-ach-dae,moab-ach-dae,Moäb,Ml.,Derivative
,,,,mod-án,,mod,Ml.,Derivative
mar.'do.ke.,/ˈmor.də.xʲe.i/,Mardocheus,Mordochei,Mordochei,,,Ml.,Hebrew>Latin>Irish
mo.ˈi:.se:,/ˈmo.i.ʃi/,Mō̆ȳsēs,Moysi,Moysi,,,"Wb.,Ml.",Hebrew>Latin>Irish
,,,,múl-dae,,múl,Sg.,Derivative
,,,,muntar-as,,muinter/muntar,Wb.,Derivative
,,,,múr-dae,,múr,Ml.,Derivative
na.bu.ko.'do.no.sor,/ˈnav.kə.ðən/,Nabuchodonosor,Nabcodon,Nabcodon,,,Ml.,Hebrew>Latin>Irish
na.bu.ko.'do.no.sor,/ˈnav.kə.ðə.nə.sər/,Nabuchodonosor,Nabcodonozor,Nabcodonozor,,,MG,Hebrew>Latin>Irish
ˈna.tan,/ˈna.θən/,Nathan,Nathan,Nathan,,,Ml.,Hebrew>Latin>Irish
new.'tra:.l,/ˈnʲew.du.ra:l.de/,neutrālis,neuturál\dae,neuturál-dae,,neutur,Sg.,Latin Derivative
ˈno:.e:,/ˈno.e/,Nōē,Nóë,Nóë,,,Wb.,Hebrew>Latin>Irish
,,,,not-aid,,not,Sg.,Derivative
,,,,not-aire,not-ire,not,Wb.,Derivative
ˈnun,/ˈnun/,Nun,Nun,Nun,,,"Wb.,MG",Hebrew>Latin>Irish
o.kre.,/ˈo.xrə/,ocreae,ochra,ochra,,,McManus/Other,Unclear Etymology
,,,,oing-the,,ong-aid/oing-id,"Ml.,MG",Derivative
,,,,oipr-ed,,opar,Wb.,Derivative
or.di.n,/ˈorʲdʲ.nʲəðʲ/,ōrdinō,oirdn\id,oirdn-id,ordnaid,ordan,"Wb.,Blathmac,Sg.",Derivative
,,,,oirdn-ide,,ordan,Ml.,Derivative
,,,,oirdn-ithe,,ordan,"Wb.,Blathmac",Derivative
o.'ra:.kl,/ˈorʲ.gʲlʲəx/',*orāclum,oirgl\ech,oirgl-ech,,aracol,Sg.,Derivative
,,,,ong-ad,,ong-aid/oing-id,Ml.,Derivative
o.'ni.a:s,/ˈo.ni.əs/,Oniās,Onias,Onias,,,Ml.,Hebrew>Latin>Irish
,,,,ór-dae,,ór 1,"Blathmac,Sg.",Derivative
,,,,ord-ad,,ord 1,Wb.,Derivative
,,,,ord-aig-idir,,ord 1,Wb.,Derivative
,,,,ord-aig-the,,ord 1,Wb.,Derivative
or.di.n,/ˈor.dən/,ōrdinem,ordan,ordan,,ord 1,Blathmac,Latin Derivative
ho.se.a,/ˈo.se/,Hosea,Ossæ,Ossæ,,,Wb.,Hebrew>Latin>Irish
,,,,Pátrac-án,patrac-án,Pátraic [Pátric],Sg.,Derivative
,,,,peccth-ach,pecth-ach,peccad [peccath],"Wb.,Ml.",Derivative
,,,,peccth-aid,pecth-aid,peccad [peccath],Wb.,Derivative
,,,,peccth-aig-idir,,peccad [peccath],Ml.,Derivative
,,,,peccth-aige,,peccad [peccath],Ml.,Derivative
,,,,persan-dae,,persan,Sg.,Derivative
,,,,pían-aid,,pían [pén],Ml.,Derivative
,,,,pían-da-tu,,pían [pén],Ml.,Derivative
,,,,póc-nat,,póc,Sg.,Derivative
,,,,popul-dae,,popul,Ml.,Derivative
,,,,preicept-óir,,preicept,"Wb.,Ml.",Derivative
,,,,prom-ad,,prom-aid,"Wb.,Ml.",Derivative
,,,,prom-thae,prom-the,prom-aid,Wb.,Derivative
rab.sa.ke:n,/ˈrav.sə.kʲe:n/,Rabsacēn,Rabsacen,Rabsacen,,,Ml.,Hebrew>Latin>Irish
,,,,reiclés,,,McManus/Other,Unclear Etymology
,,,,ríagl-óir,,ríagol,MG,Derivative
,,,,ríagol-dae,,ríagol,Sg.,Derivative
ro:.'ma:.n,/ˈro:.ɱa:n/,rōmānus,rómán,Rómán,,rúam,"Wb.,Sg.,MG",Latin Derivative
,,,,rómán-ach,,rúam,Sg.,Derivative
,,,,rómán-dae,,rúam,Sg.,Derivative
,,,,romol-dae,,Romuil,Sg.,Derivative
,,,,ros-tae,,rós,Sg.,Derivative
,,,,ros-tan,,rós,Sg.,Derivative
sa.'ker.do.tal,/ˈsa.gər.də.tə.ləxt/,sacerdotal,sacerdotal\acht,sacerdotal-acht,,sacard,Ml.,Latin Derivative
sam.so:n,/ˈsaɱ.so:n/,Samsōn,Samsón,Samsón,,,MG,Hebrew>Latin>Irish
sa.ra,/ˈsa.rə/,Sara,Sara,Sara,,,"Wb.,MG",Hebrew>Latin>Irish
ˈsa.tan,/sa.tən/,Satan,satan,Satan,,,Blathmac,Hebrew>Latin>Irish
ˈsa.ta.e:l,/ˈsa.θʲəl/,Satahēl,Sathel,Sathel,,,MG,Hebrew>Latin>Irish
,,,Saul,Saul,,,Ml.,Hebrew>Latin>Irish
,,,,sciobaidh,,,McManus/Other,Unclear Etymology
sko:.'ba:.ri.,/ˈʃkʲi.bəl/,scōpārium,scioból,scioból,,,McManus/Other,Unclear Etymology
,,,,scip-ide,,Scip,Sg.,Derivative
,,,,scríb-thae,scríp-the,scríb-aid,Wb.,Derivative
skri:.'ben.d,/ˈʃkʲrʲi:.vʲənd/,scrībendum,scríbend,scríbend,,scríb-aid,"Wb.,Ml.,MG",Latin Derivative
,,,,scríbnd-id,,scríbend,"Ml.,Sg.,MG",Derivative
,,,,scrín-aire,,scrín,Wb.,Derivative
skru:.'ti.ni.,/ˈskru:.dən/,scrūtinium,scrútan,scrútan,,scrút-aid,MG,Latin Derivative
,,,,scúap-thae,,scúap,MG,Derivative
se.me.i:,/ˈʃe.ɱʲe.i/,Semeī,Semei,Semei,,,Ml.,Hebrew>Latin>Irish
,,Sennacherib,Sennacherib,Sennacherib,,,Ml.,Hebrew>Latin>Irish
si.r,/ˈʃer/,Syrus,ser,Ser,,,Ml.,Hebrew>Latin>Irish
,,,,ser-dae,,ser,Ml.,Derivative
se.ra.fi:n,/ˈʃe.ru.pʲi:n/,seraphīn,Serupín,Serupín,,,Blathmac,Hebrew>Latin>Irish
se:t,/ˈʃe:θ/,Sēth,Séth,Séth,,,Wb.,Hebrew>Latin>Irish
,,,,sillab-ach,,sillab,Sg.,Derivative
,,,,sillab-ch-ae,,sillab,Sg.,Derivative
ˈsi.mo:n,/ˈʃi.ɱo:n/,Simōn,Simón,Simón,,,Blathmac,Hebrew>Latin>Irish
,,Sinai,Sina,Sina,,,Ml.,Hebrew>Latin>Irish
si.on,/ˈʃi.o:n/,Sion,Sïón,Sïón,,,"Wb.,Blathmac,Ml.",Hebrew>Latin>Irish
,,Siria/Suria/Sȳria,Sira,Siria,,,Ml.,Hebrew>Latin>Irish
so.do.m,/ˈso.ðəɱ/,Sodoma,Sodaim,Sodaim,,,Ml.,Hebrew>Latin>Irish
so.lo.mo:n,/ˈso.ləɱ/,Solomōn,Solam 2,Solam 2,,,Ml.,Hebrew>Latin>Irish
,,,Sorbabel,Sorbabel,,,Ml.,Hebrew>Latin>Irish
,,,,spirit-ide,,spirut/spiurt,Wb.,Derivative
spir.'ta:.l,/ˈʃpʲir.ta:l.de/,*spirtālis,spirtál\de,spirtál-dae,spirtál-de,spirut/spiurt,Wb.,Latin Derivative
,,,,stoir-ide,,stoir,"Wb.,MG",Derivative
,,,,stoir-ide-tu,,stoir,Wb.,Derivative
,,,,stoir-ier,,stoir,Ml.,Derivative
ta.bel.'la:.ri.,/ˈta.vlə.rʲe/,tabellārius,tablaire,tabl-aire,,taball,Sg.,Derivative
ˈta.bo:r,/ˈta.vo:r/,Thabōr,Tabór,Tabór,,,Wb.,Hebrew>Latin>Irish
,,,Teothas,Teothas,Teothas ?,,Ml.,Unclear Etymology
,,,,test-as,,teist,Wb.,Derivative
,,,,trácht-aire,,trácht-aid,Ml.,Derivative
,,,,trácht-aire-cht,,trácht-aid,Sg.,Derivative
tro:.ˈja:.n,/ˈtroj.an.de/,trōiānus,troían\dae,troían-dae,,Troí,Sg.,Latin Derivative
,,,,trop-dae,,trop,Ml.,Derivative
,,,,túaiscert,,,"Ml.,MG",Unclear Etymology
,,,,úair-e,ór-e,úar 2 [ór 2],"Wb.,Ml.,Sg.,MG",Derivative
hu.mi.li.ˈta:.t,/ˈu.ɱəl.do:dʲ/,humilitātem,umaldóit,umaldóit,omaldóit,umal,"Wb.,Ml.,MG",Latin Derivative
,,,,ungai-net,,ungae,Sg.,Derivative
